model,best_val_top1,best_val_top3,best_epoch,stopped_epoch,train_top1_at_best,val_top1_at_best,generalization_gap,min_val_loss
full,0.7800006845564075,,,,,,,
processed,0.42994791716337205,,,,,,,
preprocessed_full,0.7538740775022451,,12.0,16.0,0.958285474267582,0.7538740775022451,0.20441139676533693,1.5826946641786994
preprocessed_processed,0.4831829368334701,,12.0,16.0,0.8229015919820617,0.4831829368334701,0.3397186551485916,1.722865151126821
