epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,59255.5,1.08452,0.52011,0.90892,0.60337,0.55677,0.51069,0.30258,1.24248,1.69918,0.98788,0.005842,0.005842,0.005842
44,60352.7,1.0817,0.51765,0.90739,0.60254,0.55713,0.51085,0.30294,1.2421,1.69531,0.98777,0.005743,0.005743,0.005743
45,61413.5,1.07979,0.51632,0.90749,0.60264,0.559,0.51189,0.3036,1.24221,1.6916,0.98791,0.005644,0.005644,0.005644
46,62457.6,1.07758,0.51557,0.90688,0.60327,0.55932,0.51248,0.30403,1.24245,1.6895,0.98801,0.005545,0.005545,0.005545
47,63499.5,1.0736,0.51208,0.9066,0.6037,0.55939,0.5128,0.30432,1.24233,1.68682,0.98806,0.005446,0.005446,0.005446
48,64563,1.07496,0.51241,0.90696,0.60371,0.55891,0.513,0.30453,1.2422,1.68346,0.98806,0.005347,0.005347,0.005347
49,65600.9,1.07256,0.51201,0.90625,0.60351,0.55882,0.51346,0.30493,1.24203,1.6783,0.98813,0.005248,0.005248,0.005248
50,69771.7,1.07195,0.51056,0.90554,0.6036,0.55866,0.51361,0.30524,1.24185,1.67426,0.98808,0.005149,0.005149,0.005149
51,70912.7,1.06933,0.5083,0.90536,0.60411,0.55798,0.51327,0.30518,1.24178,1.67244,0.98801,0.00505,0.00505,0.00505
52,71959.9,1.06717,0.50625,0.90502,0.60276,0.55838,0.51308,0.30509,1.24132,1.67155,0.98788,0.004951,0.004951,0.004951
53,73006.8,1.06412,0.50496,0.90389,0.60196,0.55933,0.51335,0.30523,1.24134,1.66998,0.9878,0.004852,0.004852,0.004852
54,74189.2,1.06171,0.50337,0.90338,0.60247,0.55907,0.5135,0.30553,1.241,1.66735,0.98767,0.004753,0.004753,0.004753
55,79387.9,1.06126,0.5026,0.90328,0.60225,0.55923,0.51354,0.30566,1.24106,1.6651,0.98761,0.004654,0.004654,0.004654
56,80497.4,1.05796,0.50102,0.90345,0.60182,0.55929,0.51342,0.30561,1.24115,1.6643,0.98762,0.004555,0.004555,0.004555
57,81544.2,1.05444,0.49917,0.90128,0.60248,0.55907,0.51346,0.30553,1.2415,1.66219,0.98765,0.004456,0.004456,0.004456
58,82599.2,1.05526,0.49868,0.9018,0.60204,0.55817,0.51294,0.30524,1.24213,1.66144,0.98779,0.004357,0.004357,0.004357
59,83846.2,1.05192,0.49768,0.90143,0.59965,0.55903,0.51248,0.30493,1.2424,1.6605,0.98782,0.004258,0.004258,0.004258
60,84959.5,1.05035,0.49607,0.90132,0.59753,0.56004,0.51239,0.30504,1.24273,1.65824,0.98793,0.004159,0.004159,0.004159
61,86031.4,1.04823,0.49379,0.90043,0.59653,0.56082,0.51214,0.30495,1.24311,1.65781,0.98799,0.00406,0.00406,0.00406
62,87086.2,1.0466,0.49396,0.90116,0.59458,0.56225,0.5122,0.30491,1.2439,1.65848,0.98818,0.003961,0.003961,0.003961
63,88228.4,1.04451,0.49054,0.89987,0.59361,0.56343,0.51213,0.30484,1.2444,1.65713,0.98833,0.003862,0.003862,0.003862
64,89320.1,1.04379,0.49105,0.8994,0.59232,0.56485,0.51236,0.30496,1.24472,1.65478,0.98842,0.003763,0.003763,0.003763
65,90352,1.04017,0.48814,0.89905,0.59115,0.56543,0.51249,0.30506,1.24513,1.65383,0.98857,0.003664,0.003664,0.003664
