sequence,track_id,team_id,is_goalie,is_referee,is_candidate,n_seen,n_feat,left_hits,right_hits,edge_ratio,score,combined,rarity,vote_a,vote_b,vote_total,vote_margin,side,std_x_ratio,std_y_ratio,motion_ok,decision_confidence,reason_code,mean_x_ratio,mean_y_ratio,mean_w_ratio,mean_h_ratio,team_p70,fused_spatial_a,fused_spatial_b,fused_neighbor_a,fused_neighbor_b,fused_appearance_a,fused_appearance_b,fused_score_a,fused_score_b
triunfazo_millos,1153,1,0,0,0,388,388,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.274831,0.686614,0.031231,0.088342,0.184119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1154,1,0,0,0,401,401,33,0,0.082294,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.443829,0.405481,0.017496,0.0661,0.184119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1157,0,0,0,0,195,195,105,0,0.538462,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.18481,0.463198,0.020281,0.071793,0.179236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1159,-1,0,0,0,4,4,4,0,1.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.028136,0.963839,0.02339,0.072881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1160,1,0,0,0,150,150,98,0,0.653333,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.141564,0.47334,0.02251,0.07247,0.184119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1162,-1,0,0,0,2,2,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.626807,0.978917,0.026423,0.041754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1167,-1,0,0,0,4,0,4,0,1.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.003728,0.536088,0.006381,0.017899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1171,1,0,0,0,360,339,125,0,0.347222,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.160392,0.604801,0.024459,0.083458,0.184119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1172,-1,0,0,0,3,3,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.213508,0.251378,0.010573,0.043626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1191,-1,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.403362,0.288197,0.011585,0.036982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1221,-2,0,0,0,32,32,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.560536,0.305587,0.011549,0.034624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1223,-1,0,0,0,1,1,1,0,1.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.073777,0.472345,0.019303,0.062928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1226,0,0,0,0,225,225,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.362953,0.451085,0.021282,0.073009,0.179236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1228,0,0,0,0,108,108,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.575223,0.963859,0.02852,0.070443,0.179236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1235,-2,0,0,0,96,96,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.659838,0.283888,0.012075,0.040909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1241,1,0,0,0,187,187,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.341156,0.471175,0.021957,0.077998,0.184119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1243,0,0,0,0,15,15,15,0,1.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.123252,0.282261,0.013715,0.051887,0.179236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1244,0,0,0,0,16,16,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.21746,0.257608,0.013422,0.050623,0.179236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1245,0,0,0,0,10,10,10,0,1.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.039582,0.300652,0.013427,0.05225,0.179236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1247,-1,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.295742,0.29933,0.012044,0.04953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1249,-2,0,0,0,33,33,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.635626,0.276214,0.012701,0.04268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1254,1,1,0,1,39,39,0,0,0.0,0.734274,0.734274,0.0,0,0,0,0.0,left,0.0,0.0,0,0.214935,fused_class_seeded,0.23803,0.440611,0.022776,0.035192,0.184119,0.77423,0.787126,0.138987,0.861013,0.0,0.0,0.474472,0.734274
triunfazo_millos,1255,1,0,0,0,87,87,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.196027,0.229354,0.012299,0.052458,0.184119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1256,0,0,0,0,87,87,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.158244,0.24356,0.01398,0.054284,0.179236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1260,-2,0,0,0,16,16,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.658109,0.260294,0.012198,0.046234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1263,-1,0,0,0,7,7,7,0,1.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.059935,0.269464,0.013955,0.058412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1264,-1,0,0,0,5,5,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.230378,0.229908,0.011221,0.050037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1265,-2,0,0,0,59,59,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.614551,0.255662,0.01349,0.047396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1266,0,0,0,0,53,53,53,0,1.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.046175,0.269149,0.014066,0.054995,0.179236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1268,1,0,0,0,40,40,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.216963,0.22936,0.011921,0.052979,0.184119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1269,-1,0,0,0,6,6,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.320877,0.43577,0.017321,0.084374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1271,-1,0,0,0,3,3,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.653686,0.476524,0.017672,0.085426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1274,-1,0,0,0,7,7,7,0,1.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.077527,0.758689,0.148812,0.199207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1278,-1,0,0,0,4,4,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.392471,0.764983,0.171164,0.236673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1279,0,0,0,0,96,96,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.370612,0.779357,0.104852,0.235678,0.179236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1296,-1,0,0,0,5,5,0,5,1.0,0.0,0.0,0.0,0,0,0,0.0,right,0.0,0.0,0,0.0,,0.896034,0.840587,0.086543,0.323435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1303,1,0,0,0,19,19,0,19,1.0,0.0,0.0,0.0,0,0,0,0.0,right,0.0,0.0,0,0.0,,0.942256,0.20093,0.096512,0.39096,0.184119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1316,0,0,0,0,17,17,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.683635,0.422605,0.117331,0.292632,0.179236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1328,0,0,0,0,8,8,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.44315,0.462511,0.079933,0.30066,0.179236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1330,-1,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.58774,0.491244,0.099871,0.352332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1332,-1,0,0,0,6,6,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.482796,0.615,0.07896,0.296166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1333,-1,0,0,0,2,2,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.586253,0.342892,0.048195,0.324067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1343,1,0,0,0,89,89,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.264002,0.44735,0.022297,0.065552,0.184119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1344,1,0,0,0,89,89,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.690676,0.647688,0.028296,0.081472,0.184119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1345,1,0,0,0,89,89,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.701778,0.459071,0.019013,0.069585,0.184119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1346,1,0,0,0,89,89,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.38054,0.399214,0.016491,0.058581,0.184119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1347,0,0,0,0,89,89,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.660539,0.709979,0.034622,0.087225,0.179236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1348,1,0,0,0,35,35,0,35,1.0,0.0,0.0,0.0,0,0,0,0.0,right,0.0,0.0,0,0.0,,0.969665,0.39488,0.015114,0.063735,0.184119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1349,0,0,0,0,89,89,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.644153,0.634206,0.026106,0.075089,0.179236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1351,0,0,0,0,61,61,0,35,0.57377,0.0,0.0,0.0,0,0,0,0.0,right,0.0,0.0,0,0.0,,0.882793,0.590037,0.020906,0.073501,0.179236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1352,1,0,0,0,89,89,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.29181,0.384385,0.018458,0.057012,0.184119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1353,0,0,0,0,89,89,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.249238,0.510082,0.02066,0.068846,0.179236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1354,1,0,0,0,89,89,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.464377,0.287881,0.012895,0.04848,0.184119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1355,0,0,0,0,86,86,0,24,0.27907,0.0,0.0,0.0,0,0,0,0.0,right,0.0,0.0,0,0.0,,0.821543,0.48726,0.018552,0.073083,0.179236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1356,0,0,0,0,88,88,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.54354,0.516588,0.020382,0.070569,0.179236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1357,0,0,0,0,88,88,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.510779,0.355077,0.01376,0.053598,0.179236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1358,0,0,0,0,88,88,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.525341,0.461726,0.019364,0.064714,0.179236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1359,1,0,0,0,88,88,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.625534,0.721946,0.037838,0.088011,0.184119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1360,0,0,0,0,88,88,0,10,0.113636,0.0,0.0,0.0,0,0,0,0.0,right,0.0,0.0,0,0.0,,0.74447,0.393746,0.014826,0.062233,0.179236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1361,0,0,0,0,88,88,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.24732,0.433225,0.019697,0.064817,0.179236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1362,0,0,0,0,88,88,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.263614,0.389281,0.01833,0.054819,0.179236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1363,-2,0,0,0,37,37,24,0,0.648649,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.137683,0.264545,0.010491,0.040132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1370,-1,0,0,0,1,0,0,1,1.0,0.0,0.0,0.0,0,0,0,0.0,right,0.0,0.0,0,0.0,,0.997629,0.571503,0.0045,0.066738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1374,-1,0,0,0,2,2,0,2,1.0,0.0,0.0,0.0,0,0,0,0.0,right,0.0,0.0,0,0.0,,0.906466,0.222891,0.008549,0.032908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1375,-1,0,0,0,4,4,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.593674,0.239583,0.010615,0.033826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1379,-1,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.172824,0.2584,0.009883,0.03696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1381,-2,0,0,0,31,31,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.24218,0.238462,0.010361,0.037183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1383,-1,0,0,0,3,3,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.237446,0.237848,0.010975,0.036744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1386,0,0,0,0,14,14,14,0,1.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.015807,0.440207,0.021389,0.069655,0.179236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,1388,-1,0,0,0,4,4,4,0,1.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.025238,0.435395,0.021096,0.072212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
