epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
35,17464.8,1.12154,0.51253,0.86225,0.55639,0.52177,0.44609,0.24925,1.32668,2.06178,0.91723,0.006634,0.006634,0.006634
36,17970.8,1.11832,0.50981,0.86199,0.55619,0.52158,0.44583,0.24932,1.32673,2.06751,0.91722,0.006535,0.006535,0.006535
37,18467.5,1.11665,0.50898,0.86155,0.55597,0.52189,0.44597,0.24938,1.32695,2.07241,0.91729,0.006436,0.006436,0.006436
38,18980.5,1.11274,0.50764,0.86077,0.55567,0.52265,0.44626,0.24965,1.32649,2.07318,0.91717,0.006337,0.006337,0.006337
39,19472.1,1.11181,0.50702,0.86086,0.55598,0.52312,0.4467,0.24984,1.32618,2.07003,0.91716,0.006238,0.006238,0.006238
40,19981.4,1.10835,0.50416,0.86035,0.55515,0.52419,0.44714,0.25014,1.32663,2.06972,0.91723,0.006139,0.006139,0.006139
41,20472.9,1.10507,0.50321,0.85964,0.55603,0.52392,0.44718,0.25019,1.32675,2.07128,0.91732,0.00604,0.00604,0.00604
42,20989.1,1.10508,0.50319,0.86021,0.55662,0.5238,0.44769,0.25046,1.32702,2.07245,0.91736,0.005941,0.005941,0.005941
43,21510.7,1.10391,0.50223,0.85976,0.55559,0.52493,0.448,0.25064,1.32792,2.07359,0.91751,0.005842,0.005842,0.005842
44,22034.5,1.0984,0.49916,0.85837,0.55536,0.52627,0.44872,0.25096,1.32879,2.07529,0.9177,0.005743,0.005743,0.005743
45,22550.3,1.09785,0.49746,0.85855,0.5556,0.52708,0.44901,0.25111,1.32975,2.07659,0.91791,0.005644,0.005644,0.005644
46,23041.8,1.09451,0.49692,0.85826,0.55461,0.52872,0.44917,0.25121,1.32999,2.07771,0.91794,0.005545,0.005545,0.005545
47,23560.5,1.09178,0.49506,0.85759,0.55435,0.52996,0.44941,0.25133,1.33055,2.07602,0.91805,0.005446,0.005446,0.005446
48,24069.3,1.09129,0.49409,0.858,0.55382,0.53071,0.4494,0.25143,1.33139,2.07832,0.91823,0.005347,0.005347,0.005347
49,24573.7,1.0918,0.49506,0.85753,0.55311,0.53264,0.44972,0.25156,1.33194,2.07796,0.91838,0.005248,0.005248,0.005248
50,25082,1.08704,0.49248,0.85691,0.55321,0.53332,0.44975,0.2515,1.33273,2.07943,0.91856,0.005149,0.005149,0.005149
51,25593.2,1.08519,0.49184,0.85661,0.55249,0.53349,0.44975,0.25139,1.33325,2.07826,0.91872,0.00505,0.00505,0.00505
52,26099.3,1.08214,0.48977,0.85616,0.55347,0.53269,0.4491,0.25106,1.33352,2.08154,0.9188,0.004951,0.004951,0.004951
53,26613.3,1.07954,0.48737,0.85589,0.55313,0.53177,0.44831,0.25057,1.3337,2.08346,0.9188,0.004852,0.004852,0.004852
54,27139,1.08017,0.48822,0.85576,0.55303,0.53169,0.44788,0.25029,1.33464,2.08299,0.91902,0.004753,0.004753,0.004753
55,27664,1.07582,0.48586,0.85506,0.55362,0.53106,0.44749,0.25004,1.33547,2.08227,0.91924,0.004654,0.004654,0.004654
56,28189.1,1.07456,0.48502,0.85481,0.55374,0.5312,0.44719,0.24973,1.33663,2.0824,0.9195,0.004555,0.004555,0.004555
57,28713.4,1.07305,0.48385,0.85431,0.55407,0.53149,0.44727,0.24977,1.33757,2.08284,0.91968,0.004456,0.004456,0.004456
58,29238.1,1.07062,0.48264,0.85445,0.55412,0.53098,0.44703,0.24956,1.33859,2.08247,0.91987,0.004357,0.004357,0.004357
59,29758,1.06751,0.48116,0.85418,0.5544,0.53081,0.4468,0.24957,1.33891,2.08218,0.91994,0.004258,0.004258,0.004258
60,30283.9,1.06651,0.47996,0.85375,0.55342,0.5316,0.44667,0.24947,1.33939,2.08267,0.92002,0.004159,0.004159,0.004159
61,30804,1.06321,0.47833,0.85297,0.55375,0.5312,0.44658,0.24948,1.33984,2.08097,0.9201,0.00406,0.00406,0.00406
62,31349.4,1.06073,0.47741,0.85292,0.55353,0.53198,0.44663,0.24934,1.34088,2.08078,0.9203,0.003961,0.003961,0.003961
63,31859.1,1.05983,0.47723,0.85273,0.55176,0.53222,0.44609,0.2491,1.34155,2.08124,0.92044,0.003862,0.003862,0.003862
64,32357.5,1.05805,0.4765,0.85185,0.55177,0.53185,0.44608,0.24912,1.34201,2.07992,0.92057,0.003763,0.003763,0.003763
65,32849,1.05522,0.47418,0.85194,0.55111,0.53184,0.44548,0.24895,1.34267,2.08246,0.92076,0.003664,0.003664,0.003664
66,33341.7,1.05369,0.47308,0.85138,0.55089,0.53143,0.44476,0.24853,1.34336,2.08583,0.92093,0.003565,0.003565,0.003565
67,33836.4,1.04988,0.4715,0.8507,0.55013,0.53092,0.44425,0.24818,1.34387,2.08788,0.92107,0.003466,0.003466,0.003466
68,34328.1,1.04967,0.47115,0.85084,0.55024,0.53076,0.44428,0.24825,1.34443,2.08769,0.92121,0.003367,0.003367,0.003367
69,34820,1.04728,0.46964,0.85069,0.54951,0.53099,0.4443,0.24829,1.34523,2.08906,0.9214,0.003268,0.003268,0.003268
70,35310.4,1.0435,0.46738,0.8504,0.54946,0.53151,0.44435,0.24836,1.34556,2.08938,0.92146,0.003169,0.003169,0.003169
71,35801.2,1.04238,0.4669,0.84992,0.55021,0.53095,0.44428,0.24849,1.34597,2.08889,0.92151,0.00307,0.00307,0.00307
72,36293.4,1.04031,0.46538,0.84949,0.54965,0.53121,0.4444,0.24838,1.34725,2.08784,0.92177,0.002971,0.002971,0.002971
73,36786.3,1.03795,0.46453,0.84931,0.54872,0.53167,0.44444,0.2483,1.34814,2.08808,0.922,0.002872,0.002872,0.002872
74,37282.5,1.03642,0.46366,0.84893,0.5494,0.53118,0.44477,0.24863,1.34885,2.0863,0.92219,0.002773,0.002773,0.002773
75,37780.4,1.03267,0.46066,0.84834,0.54804,0.53203,0.44479,0.24863,1.34984,2.09139,0.92238,0.002674,0.002674,0.002674
76,38277.9,1.03131,0.45995,0.84801,0.54838,0.53113,0.44476,0.24866,1.35073,2.09254,0.92257,0.002575,0.002575,0.002575
77,38776.8,1.02885,0.45945,0.8477,0.54876,0.52989,0.44459,0.2486,1.35155,2.09613,0.92278,0.002476,0.002476,0.002476
78,39276.7,1.02518,0.45636,0.84681,0.54856,0.52866,0.4443,0.2485,1.35265,2.09694,0.92301,0.002377,0.002377,0.002377
79,39779.9,1.02603,0.45684,0.8469,0.54756,0.52853,0.44411,0.24826,1.35331,2.09972,0.9232,0.002278,0.002278,0.002278
80,40285.3,1.02271,0.4559,0.84661,0.54709,0.52828,0.4438,0.24816,1.35394,2.09965,0.92337,0.002179,0.002179,0.002179
81,40787.2,1.01947,0.4537,0.84636,0.54679,0.52712,0.44345,0.24787,1.355,2.10201,0.92363,0.00208,0.00208,0.00208
