epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,50201.7,2.00208,1.45298,0.00068,0.60105,0.49866,0.47614,0.18213,2.20022,2.03265,0.00154,0.0271029,0.0090343,0.0271029,0.0090343,0.0271029,0.0090343,0.0271029,0.0090343
31,51799.3,1.9847,1.45316,0.00068,0.60233,0.49792,0.47664,0.1825,2.19928,2.03233,0.00154,0.027003,0.009001,0.027003,0.009001,0.027003,0.009001,0.027003,0.009001
32,53390.6,1.98715,1.44356,0.00068,0.60156,0.4973,0.47665,0.18271,2.1972,2.03663,0.00154,0.0269031,0.0089677,0.0269031,0.0089677,0.0269031,0.0089677,0.0269031,0.0089677
33,54979.6,1.98224,1.44317,0.00068,0.60316,0.49578,0.47672,0.18311,2.19612,2.04041,0.00153,0.0268032,0.0089344,0.0268032,0.0089344,0.0268032,0.0089344,0.0268032,0.0089344
34,56570.7,1.97982,1.42199,0.00068,0.60456,0.49578,0.47678,0.18308,2.19733,2.0408,0.00153,0.0267033,0.0089011,0.0267033,0.0089011,0.0267033,0.0089011,0.0267033,0.0089011
35,58182.3,1.98163,1.43691,0.00067,0.60543,0.49517,0.47691,0.18304,2.19719,2.04406,0.00153,0.0266034,0.0088678,0.0266034,0.0088678,0.0266034,0.0088678,0.0266034,0.0088678
36,59798.2,1.97959,1.42463,0.00067,0.60563,0.49443,0.47669,0.18324,2.19614,2.04985,0.00153,0.0265035,0.0088345,0.0265035,0.0088345,0.0265035,0.0088345,0.0265035,0.0088345
37,61410.1,1.96477,1.42144,0.00066,0.60502,0.49352,0.47626,0.18324,2.19641,2.05752,0.00153,0.0264036,0.0088012,0.0264036,0.0088012,0.0264036,0.0088012,0.0264036,0.0088012
38,63008.5,1.96504,1.40868,0.00067,0.60412,0.49397,0.47625,0.18334,2.19557,2.06214,0.00153,0.0263037,0.0087679,0.0263037,0.0087679,0.0263037,0.0087679,0.0263037,0.0087679
39,64628.2,1.96519,1.41883,0.00067,0.60472,0.49304,0.47625,0.18369,2.19428,2.06624,0.00153,0.0262038,0.0087346,0.0262038,0.0087346,0.0262038,0.0087346,0.0262038,0.0087346
40,66257.7,1.96237,1.41726,0.00067,0.6053,0.49178,0.47526,0.18329,2.19358,2.07387,0.00153,0.0261039,0.0087013,0.0261039,0.0087013,0.0261039,0.0087013,0.0261039,0.0087013
41,67854.6,1.96226,1.40108,0.00067,0.60645,0.49127,0.47511,0.18328,2.19633,2.07326,0.00153,0.026004,0.008668,0.026004,0.008668,0.026004,0.008668,0.026004,0.008668
42,69436,1.96746,1.40703,0.00067,0.60787,0.4896,0.47402,0.18291,2.19824,2.07763,0.00153,0.0259041,0.0086347,0.0259041,0.0086347,0.0259041,0.0086347,0.0259041,0.0086347
43,71019.9,1.95715,1.39123,0.00066,0.60737,0.48925,0.47363,0.18319,2.19684,2.08365,0.00153,0.0258042,0.0086014,0.0258042,0.0086014,0.0258042,0.0086014,0.0258042,0.0086014
44,72602.3,1.94499,1.38865,0.00066,0.61075,0.4874,0.47315,0.18313,2.19732,2.08762,0.00153,0.0257043,0.0085681,0.0257043,0.0085681,0.0257043,0.0085681,0.0257043,0.0085681
45,74182.5,1.95291,1.38338,0.00066,0.6131,0.48582,0.47257,0.18298,2.19738,2.09243,0.00153,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348
